RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-74,3.43,0.171,3c:28:6d:86:2b:4c,7.992,5.52,8,0.8,1676378278430,568739256,FTM_responder_4,7
-71,3.43,0.301,3c:28:6d:86:2b:4c,7.731,5.52,8,0.8,1676378278677,568739503,FTM_responder_4,7
-72,3.43,0.214,3c:28:6d:86:2b:4c,7.875,5.52,8,0.8,1676378278875,568739699,FTM_responder_4,7
-71,3.43,0.203,3c:28:6d:86:2b:4c,7.931,5.52,8,0.8,1676378279088,568739903,FTM_responder_4,7
-73,3.43,0.148,3c:28:6d:86:2b:4c,7.879,5.52,8,0.8,1676378279310,568740113,FTM_responder_4,7
-72,3.43,0.169,3c:28:6d:86:2b:4c,8.162,5.52,8,0.8,1676378279499,568740319,FTM_responder_4,7
-71,3.43,0.259,3c:28:6d:86:2b:4c,7.924,5.52,8,0.8,1676378279725,568740529,FTM_responder_4,7
-71,3.43,0.3,3c:28:6d:86:2b:4c,7.495,5.52,8,0.8,1676378279937,568740708,FTM_responder_4,7
-71,3.43,0.126,3c:28:6d:86:2b:4c,7.757,5.52,8,0.8,1676378280077,568740894,FTM_responder_4,7
-70,3.43,0.287,3c:28:6d:86:2b:4c,7.699,5.52,8,0.8,1676378280340,568741080,FTM_responder_4,7
-70,3.43,0.154,3c:28:6d:86:2b:4c,8.156,5.52,8,0.8,1676378280549,568741264,FTM_responder_4,7
-71,3.43,0.299,3c:28:6d:86:2b:4c,7.818,5.52,8,0.8,1676378280746,568741440,FTM_responder_4,7
-70,3.43,0.237,3c:28:6d:86:2b:4c,7.879,5.52,8,0.8,1676378280897,568741631,FTM_responder_4,7
-71,3.43,0.185,3c:28:6d:86:2b:4c,7.961,5.52,8,0.8,1676378281067,568741813,FTM_responder_4,7
-71,3.43,0.208,3c:28:6d:86:2b:4c,8.25,5.52,8,0.8,1676378281256,568741997,FTM_responder_4,7
