RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-70,3.43,1.674,3c:28:6d:86:2b:4c,4.265,5.52,8,0.8,1676377111340,567572166,FTM_responder_4,7
-67,3.43,0.696,3c:28:6d:86:2b:4c,3.902,5.52,8,0.8,1676377111578,567572401,FTM_responder_4,7
-67,3.43,0.868,3c:28:6d:86:2b:4c,3.956,5.52,8,0.8,1676377111765,567572590,FTM_responder_4,7
-62,3.43,0.202,3c:28:6d:86:2b:4c,3.637,5.52,8,0.8,1676377111961,567572783,FTM_responder_4,7
-64,3.43,0.618,3c:28:6d:86:2b:4c,3.956,5.52,8,0.8,1676377112167,567572985,FTM_responder_4,7
-64,3.43,0.273,3c:28:6d:86:2b:4c,4.006,5.52,8,0.8,1676377112333,567573150,FTM_responder_4,7
-61,3.43,0.759,3c:28:6d:86:2b:4c,3.843,5.52,8,0.8,1676377112532,567573350,FTM_responder_4,7
-63,3.43,0.573,3c:28:6d:86:2b:4c,4.518,5.52,8,0.8,1676377112720,567573542,FTM_responder_4,7
-59,3.43,0.467,3c:28:6d:86:2b:4c,4.413,5.52,8,0.8,1676377112946,567573734,FTM_responder_4,7
-59,3.43,0.556,3c:28:6d:86:2b:4c,4.209,5.52,8,0.8,1676377113119,567573929,FTM_responder_4,7
-60,3.43,0.604,3c:28:6d:86:2b:4c,4.373,5.52,8,0.8,1676377113369,567574138,FTM_responder_4,7
-59,3.43,0.578,3c:28:6d:86:2b:4c,4.265,5.52,8,0.8,1676377113592,567574353,FTM_responder_4,7
-59,3.43,0.609,3c:28:6d:86:2b:4c,4.218,5.52,8,0.8,1676377113776,567574561,FTM_responder_4,7
-59,3.43,0.859,3c:28:6d:86:2b:4c,4.281,5.52,8,0.8,1676377113952,567574767,FTM_responder_4,7
-59,3.43,0.35,3c:28:6d:86:2b:4c,4.237,5.52,8,0.8,1676377114236,567574979,FTM_responder_4,7
-60,3.43,0.668,3c:28:6d:86:2b:4c,4.345,5.52,8,0.8,1676377114400,567575146,FTM_responder_4,7
-60,3.43,0.831,3c:28:6d:86:2b:4c,4.068,5.52,8,0.8,1676377114557,567575345,FTM_responder_4,7
-60,3.43,0.577,3c:28:6d:86:2b:4c,4.347,5.52,8,0.8,1676377114731,567575544,FTM_responder_4,7
-59,3.43,0.776,3c:28:6d:86:2b:4c,4.047,5.52,8,0.8,1676377114928,567575736,FTM_responder_4,7
-59,3.43,0.395,3c:28:6d:86:2b:4c,4.345,5.52,8,0.8,1676377115205,567575945,FTM_responder_4,7
-60,3.43,0.711,3c:28:6d:86:2b:4c,4.153,5.52,8,0.8,1676377115371,567576143,FTM_responder_4,7
-59,3.43,0.424,3c:28:6d:86:2b:4c,4.462,5.52,8,0.8,1676377115558,567576330,FTM_responder_4,7
-59,3.43,0.471,3c:28:6d:86:2b:4c,4.46,5.52,8,0.8,1676377115764,567576501,FTM_responder_4,7
