RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-74,10.0,0.615,3c:28:6d:86:33:55,4.366,3.39,8,0.8,1676377697370,568158154,FTM_responder_9,7
-75,10.0,0.675,3c:28:6d:86:33:55,4.511,3.39,8,0.8,1676377697585,568158382,FTM_responder_9,7
-75,10.0,0.615,3c:28:6d:86:33:55,4.614,3.39,8,0.8,1676377697784,568158581,FTM_responder_9,7
-74,10.0,0.643,3c:28:6d:86:33:55,4.457,3.39,8,0.8,1676377697961,568158768,FTM_responder_9,7
-74,10.0,1.438,3c:28:6d:86:33:55,3.577,3.39,8,0.8,1676377698159,568158965,FTM_responder_9,7
-72,10.0,0.206,3c:28:6d:86:33:55,4.106,3.39,8,0.8,1676377698362,568159157,FTM_responder_9,7
-73,10.0,1.374,3c:28:6d:86:33:55,3.956,3.39,8,0.8,1676377698558,568159335,FTM_responder_9,7
-67,10.0,1.466,3c:28:6d:86:33:55,4.099,3.39,8,0.8,1676377698723,568159524,FTM_responder_9,7
-68,10.0,1.057,3c:28:6d:86:33:55,4.342,3.39,8,0.8,1676377698926,568159731,FTM_responder_9,7
-70,10.0,0.263,3c:28:6d:86:33:55,4.415,3.39,8,0.8,1676377699127,568159924,FTM_responder_9,7
-75,10.0,0.41,3c:28:6d:86:33:55,4.415,3.39,8,0.8,1676377699388,568160141,FTM_responder_9,7
-71,10.0,0.087,3c:28:6d:86:33:55,4.635,3.39,8,0.8,1676377699595,568160333,FTM_responder_9,7
-66,10.0,0.735,3c:28:6d:86:33:55,4.26,3.39,8,0.8,1676377699732,568160524,FTM_responder_9,7
-68,10.0,0.256,3c:28:6d:86:33:55,4.342,3.39,8,0.8,1676377700022,568160722,FTM_responder_9,7
-67,10.0,2.075,3c:28:6d:86:33:55,2.391,3.39,8,0.8,1676377700118,568160894,FTM_responder_9,7
-67,10.0,0.154,3c:28:6d:86:33:55,4.792,3.39,8,0.8,1676377700328,568161084,FTM_responder_9,7
-65,10.0,0.624,3c:28:6d:86:33:55,4.673,3.39,8,0.8,1676377700588,568161286,FTM_responder_9,7
-66,10.0,0.073,3c:28:6d:86:33:55,4.556,3.39,8,0.8,1676377700756,568161473,FTM_responder_9,7
-66,10.0,0.091,3c:28:6d:86:33:55,4.448,3.39,8,0.8,1676377700941,568161670,FTM_responder_9,7
-67,10.0,0.128,3c:28:6d:86:33:55,4.359,3.39,8,0.8,1676377701155,568161875,FTM_responder_9,7
-66,10.0,0.117,3c:28:6d:86:33:55,4.371,3.39,8,0.8,1676377701338,568162067,FTM_responder_9,7
-69,10.0,0.088,3c:28:6d:86:33:55,4.356,3.39,8,0.8,1676377701497,568162266,FTM_responder_9,7
-69,10.0,0.101,3c:28:6d:86:33:55,4.476,3.39,8,0.8,1676377701678,568162471,FTM_responder_9,7
-65,10.0,1.331,3c:28:6d:86:33:55,2.338,3.39,8,0.8,1676377701882,568162666,FTM_responder_9,7
-67,10.0,0.106,3c:28:6d:86:33:55,4.453,3.39,8,0.8,1676377702117,568162871,FTM_responder_9,7
-68,10.0,0.168,3c:28:6d:86:33:55,4.279,3.39,8,0.8,1676377702384,568163069,FTM_responder_9,7
-68,10.0,0.176,3c:28:6d:86:33:55,4.27,3.39,8,0.8,1676377702632,568163261,FTM_responder_9,7
-68,10.0,0.276,3c:28:6d:86:33:55,3.977,3.39,8,0.8,1676377702680,568163456,FTM_responder_9,7
-68,10.0,0.121,3c:28:6d:86:33:55,4.417,3.39,8,0.8,1676377702863,568163651,FTM_responder_9,7
-66,10.0,0.237,3c:28:6d:86:33:55,4.361,3.39,8,0.8,1676377703100,568163835,FTM_responder_9,7
-66,10.0,0.129,3c:28:6d:86:33:55,4.387,3.39,8,0.8,1676377703394,568164035,FTM_responder_9,7
-65,10.0,0.154,3c:28:6d:86:33:55,4.511,3.39,8,0.8,1676377703549,568164224,FTM_responder_9,7
-65,10.0,0.119,3c:28:6d:86:33:55,4.474,3.39,8,0.8,1676377703825,568164434,FTM_responder_9,7
-64,10.0,1.287,3c:28:6d:86:33:55,3.675,3.39,8,0.8,1676377703947,568164632,FTM_responder_9,7
-65,10.0,0.154,3c:28:6d:86:33:55,4.57,3.39,8,0.8,1676377704069,568164846,FTM_responder_9,7
-65,10.0,0.148,3c:28:6d:86:33:55,4.539,3.39,8,0.8,1676377704338,568165056,FTM_responder_9,7
-65,10.0,0.163,3c:28:6d:86:33:55,4.509,3.39,8,0.8,1676377704659,568165245,FTM_responder_9,7
-66,10.0,0.202,3c:28:6d:86:33:55,4.387,3.39,8,0.8,1676377704716,568165455,FTM_responder_9,7
-66,10.0,0.204,3c:28:6d:86:33:55,4.415,3.39,8,0.8,1676377705131,568165666,FTM_responder_9,7
-66,10.0,0.176,3c:28:6d:86:33:55,4.532,3.39,8,0.8,1676377705160,568165869,FTM_responder_9,7
-65,10.0,0.181,3c:28:6d:86:33:55,4.415,3.39,8,0.8,1676377705407,568166057,FTM_responder_9,7
-66,10.0,0.138,3c:28:6d:86:33:55,4.478,3.39,8,0.8,1676377705610,568166257,FTM_responder_9,7
-66,10.0,0.142,3c:28:6d:86:33:55,4.509,3.39,8,0.8,1676377705800,568166432,FTM_responder_9,7
-65,10.0,0.179,3c:28:6d:86:33:55,4.537,3.39,8,0.8,1676377706029,568166643,FTM_responder_9,7
-66,10.0,0.131,3c:28:6d:86:33:55,4.537,3.39,8,0.8,1676377706293,568166835,FTM_responder_9,7
-64,10.0,0.135,3c:28:6d:86:33:55,4.415,3.39,8,0.8,1676377706368,568167026,FTM_responder_9,7
-65,10.0,0.14,3c:28:6d:86:33:55,4.478,3.39,8,0.8,1676377706633,568167218,FTM_responder_9,7
-63,10.0,1.334,3c:28:6d:86:33:55,3.219,3.39,8,0.8,1676377706696,568167422,FTM_responder_9,7
-65,10.0,0.288,3c:28:6d:86:33:55,4.359,3.39,8,0.8,1676377707075,568167627,FTM_responder_9,7
-65,10.0,0.289,3c:28:6d:86:33:55,4.481,3.39,8,0.8,1676377707144,568167836,FTM_responder_9,7
-66,10.0,0.191,3c:28:6d:86:33:55,4.509,3.39,8,0.8,1676377707621,568168043,FTM_responder_9,7
-66,10.0,0.18,3c:28:6d:86:33:55,4.448,3.39,8,0.8,1676377707679,568168252,FTM_responder_9,7
-66,10.0,0.21,3c:28:6d:86:33:55,4.389,3.39,8,0.8,1676377707792,568168462,FTM_responder_9,7
-66,10.0,0.171,3c:28:6d:86:33:55,4.453,3.39,8,0.8,1676377708079,568168683,FTM_responder_9,7
-65,10.0,0.138,3c:28:6d:86:33:55,4.537,3.39,8,0.8,1676377708322,568168890,FTM_responder_9,7
-64,10.0,0.157,3c:28:6d:86:33:55,4.453,3.39,8,0.8,1676377708610,568169088,FTM_responder_9,7
-65,10.0,0.965,3c:28:6d:86:33:55,3.642,3.39,8,0.8,1676377708694,568169304,FTM_responder_9,7
-66,10.0,0.367,3c:28:6d:86:33:55,4.417,3.39,8,0.8,1676377709014,568169503,FTM_responder_9,7
-66,10.0,0.309,3c:28:6d:86:33:55,4.331,3.39,8,0.8,1676377709129,568169707,FTM_responder_9,7
-65,10.0,1.12,3c:28:6d:86:33:55,3.546,3.39,8,0.8,1676377709194,568169861,FTM_responder_9,7
-64,10.0,1.16,3c:28:6d:86:33:55,3.668,3.39,8,0.8,1676377709678,568170084,FTM_responder_9,7
-66,10.0,0.166,3c:28:6d:86:33:55,4.422,3.39,8,0.8,1676377709762,568170311,FTM_responder_9,7
-66,10.0,0.131,3c:28:6d:86:33:55,4.417,3.39,8,0.8,1676377709894,568170502,FTM_responder_9,7
-65,10.0,1.239,3c:28:6d:86:33:55,3.516,3.39,8,0.8,1676377710305,568170708,FTM_responder_9,7
-66,10.0,0.17,3c:28:6d:86:33:55,4.374,3.39,8,0.8,1676377710346,568170909,FTM_responder_9,7
