RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-62,10.0,0.056,b0:6a:41:87:69:26,2.871,1.49,8,0.0,1676377697373,568158154,FTM_responder_8,7
-62,10.0,0.082,b0:6a:41:87:69:26,2.845,1.49,8,0.0,1676377697588,568158381,FTM_responder_8,7
-62,10.0,0.055,b0:6a:41:87:69:26,2.871,1.49,8,0.0,1676377697787,568158581,FTM_responder_8,7
-62,10.0,0.125,b0:6a:41:87:69:26,2.838,1.49,8,0.0,1676377697963,568158768,FTM_responder_8,7
-61,10.0,0.427,b0:6a:41:87:69:26,3.021,1.49,8,0.0,1676377698161,568158964,FTM_responder_8,7
-63,10.0,0.518,b0:6a:41:87:69:26,2.749,1.49,8,0.0,1676377698364,568159157,FTM_responder_8,7
-65,10.0,0.279,b0:6a:41:87:69:26,2.922,1.49,8,0.0,1676377698560,568159334,FTM_responder_8,7
-61,10.0,0.255,b0:6a:41:87:69:26,2.845,1.49,8,0.0,1676377698725,568159524,FTM_responder_8,7
-62,10.0,0.08,b0:6a:41:87:69:26,2.955,1.49,8,0.0,1676377698928,568159731,FTM_responder_8,7
-63,10.0,0.421,b0:6a:41:87:69:26,2.861,1.49,8,0.0,1676377699130,568159924,FTM_responder_8,7
-68,10.0,0.121,b0:6a:41:87:69:26,2.925,1.49,8,0.0,1676377699390,568160141,FTM_responder_8,7
-62,10.0,0.164,b0:6a:41:87:69:26,2.759,1.49,8,0.0,1676377699597,568160333,FTM_responder_8,7
-66,10.0,0.103,b0:6a:41:87:69:26,2.901,1.49,8,0.0,1676377699735,568160524,FTM_responder_8,7
-64,10.0,0.142,b0:6a:41:87:69:26,2.985,1.49,8,0.0,1676377700024,568160722,FTM_responder_8,7
-68,10.0,0.154,b0:6a:41:87:69:26,2.873,1.49,8,0.0,1676377700120,568160894,FTM_responder_8,7
-67,10.0,0.135,b0:6a:41:87:69:26,2.922,1.49,8,0.0,1676377700330,568161084,FTM_responder_8,7
-66,10.0,0.09,b0:6a:41:87:69:26,2.931,1.49,8,0.0,1676377700590,568161285,FTM_responder_8,7
-65,10.0,0.078,b0:6a:41:87:69:26,2.901,1.49,8,0.0,1676377700758,568161473,FTM_responder_8,7
-64,10.0,0.13,b0:6a:41:87:69:26,3.044,1.49,8,0.0,1676377700943,568161670,FTM_responder_8,7
-66,10.0,0.104,b0:6a:41:87:69:26,2.962,1.49,8,0.0,1676377701157,568161875,FTM_responder_8,7
-64,10.0,0.186,b0:6a:41:87:69:26,2.948,1.49,8,0.0,1676377701340,568162067,FTM_responder_8,7
-66,10.0,0.172,b0:6a:41:87:69:26,2.892,1.49,8,0.0,1676377701499,568162266,FTM_responder_8,7
-66,10.0,0.119,b0:6a:41:87:69:26,3.042,1.49,8,0.0,1676377701680,568162471,FTM_responder_8,7
-66,10.0,0.1,b0:6a:41:87:69:26,2.988,1.49,8,0.0,1676377701884,568162666,FTM_responder_8,7
-65,10.0,0.06,b0:6a:41:87:69:26,3.018,1.49,8,0.0,1676377702119,568162871,FTM_responder_8,7
-66,10.0,0.211,b0:6a:41:87:69:26,2.985,1.49,8,0.0,1676377702386,568163069,FTM_responder_8,7
-66,10.0,0.072,b0:6a:41:87:69:26,2.99,1.49,8,0.0,1676377702634,568163261,FTM_responder_8,7
-65,10.0,0.148,b0:6a:41:87:69:26,2.983,1.49,8,0.0,1676377702682,568163456,FTM_responder_8,7
-65,10.0,0.151,b0:6a:41:87:69:26,2.934,1.49,8,0.0,1676377702865,568163651,FTM_responder_8,7
-65,10.0,0.232,b0:6a:41:87:69:26,2.978,1.49,8,0.0,1676377703103,568163835,FTM_responder_8,7
-65,10.0,0.141,b0:6a:41:87:69:26,2.934,1.49,8,0.0,1676377703396,568164034,FTM_responder_8,7
-65,10.0,0.182,b0:6a:41:87:69:26,2.899,1.49,8,0.0,1676377703551,568164224,FTM_responder_8,7
-66,10.0,0.161,b0:6a:41:87:69:26,2.981,1.49,8,0.0,1676377703828,568164434,FTM_responder_8,7
-64,10.0,0.064,b0:6a:41:87:69:26,2.983,1.49,8,0.0,1676377703950,568164632,FTM_responder_8,7
-64,10.0,0.173,b0:6a:41:87:69:26,2.924,1.49,8,0.0,1676377704071,568164846,FTM_responder_8,7
-64,10.0,0.136,b0:6a:41:87:69:26,2.955,1.49,8,0.0,1676377704340,568165056,FTM_responder_8,7
-64,10.0,0.167,b0:6a:41:87:69:26,2.95,1.49,8,0.0,1676377704661,568165245,FTM_responder_8,7
-64,10.0,0.161,b0:6a:41:87:69:26,2.953,1.49,8,0.0,1676377704718,568165455,FTM_responder_8,7
-64,10.0,0.183,b0:6a:41:87:69:26,2.896,1.49,8,0.0,1676377705133,568165666,FTM_responder_8,7
-63,10.0,0.051,b0:6a:41:87:69:26,2.99,1.49,8,0.0,1676377705162,568165869,FTM_responder_8,7
-64,10.0,0.166,b0:6a:41:87:69:26,2.922,1.49,8,0.0,1676377705410,568166057,FTM_responder_8,7
-63,10.0,0.07,b0:6a:41:87:69:26,3.018,1.49,8,0.0,1676377705612,568166257,FTM_responder_8,7
-64,10.0,0.142,b0:6a:41:87:69:26,2.917,1.49,8,0.0,1676377705802,568166432,FTM_responder_8,7
-64,10.0,0.177,b0:6a:41:87:69:26,2.948,1.49,8,0.0,1676377706031,568166643,FTM_responder_8,7
-65,10.0,0.149,b0:6a:41:87:69:26,2.983,1.49,8,0.0,1676377706296,568166835,FTM_responder_8,7
-64,10.0,0.167,b0:6a:41:87:69:26,2.99,1.49,8,0.0,1676377706370,568167026,FTM_responder_8,7
-64,10.0,0.07,b0:6a:41:87:69:26,2.99,1.49,8,0.0,1676377706635,568167218,FTM_responder_8,7
-64,10.0,0.19,b0:6a:41:87:69:26,2.899,1.49,8,0.0,1676377706698,568167422,FTM_responder_8,7
-65,10.0,0.145,b0:6a:41:87:69:26,2.992,1.49,8,0.0,1676377707078,568167627,FTM_responder_8,7
-64,10.0,0.153,b0:6a:41:87:69:26,3.037,1.49,8,0.0,1676377707146,568167836,FTM_responder_8,7
-64,10.0,0.167,b0:6a:41:87:69:26,2.983,1.49,8,0.0,1676377707623,568168042,FTM_responder_8,7
-64,10.0,0.135,b0:6a:41:87:69:26,2.953,1.49,8,0.0,1676377707681,568168252,FTM_responder_8,7
-64,10.0,0.093,b0:6a:41:87:69:26,2.99,1.49,8,0.0,1676377707794,568168462,FTM_responder_8,7
-64,10.0,0.111,b0:6a:41:87:69:26,3.044,1.49,8,0.0,1676377708080,568168683,FTM_responder_8,7
-64,10.0,0.124,b0:6a:41:87:69:26,3.018,1.49,8,0.0,1676377708323,568168889,FTM_responder_8,7
-64,10.0,0.098,b0:6a:41:87:69:26,3.072,1.49,8,0.0,1676377708612,568169088,FTM_responder_8,7
