RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-66,10.0,0.437,3c:28:6d:86:33:55,6.678,3.39,8,0.8,1676374832662,565293462,FTM_responder_9,7
-68,10.0,0.49,3c:28:6d:86:33:55,6.562,3.39,8,0.8,1676374832892,565293693,FTM_responder_9,7
-70,10.0,0.407,3c:28:6d:86:33:55,6.678,3.39,8,0.8,1676374833093,565293900,FTM_responder_9,7
-70,10.0,0.481,3c:28:6d:86:33:55,6.549,3.39,8,0.8,1676374833317,565294120,FTM_responder_9,7
-69,10.0,0.432,3c:28:6d:86:33:55,6.649,3.39,8,0.8,1676374833521,565294316,FTM_responder_9,7
-68,10.0,0.407,3c:28:6d:86:33:55,6.756,3.39,8,0.8,1676374833725,565294524,FTM_responder_9,7
-68,10.0,0.439,3c:28:6d:86:33:55,6.687,3.39,8,0.8,1676374833925,565294728,FTM_responder_9,7
-67,10.0,0.243,3c:28:6d:86:33:55,7.012,3.39,8,0.8,1676374834138,565294941,FTM_responder_9,7
-67,10.0,0.488,3c:28:6d:86:33:55,6.637,3.39,8,0.8,1676374834362,565295155,FTM_responder_9,7
-69,10.0,0.454,3c:28:6d:86:33:55,6.687,3.39,8,0.8,1676374834591,565295355,FTM_responder_9,7
-71,10.0,0.416,3c:28:6d:86:33:55,6.596,3.39,8,0.8,1676374834803,565295564,FTM_responder_9,7
-69,10.0,0.358,3c:28:6d:86:33:55,6.75,3.39,8,0.8,1676374835026,565295779,FTM_responder_9,7
-68,10.0,0.312,3c:28:6d:86:33:55,6.759,3.39,8,0.8,1676374835211,565295990,FTM_responder_9,7
-66,10.0,1.395,3c:28:6d:86:33:55,5.488,3.39,8,0.8,1676374835431,565296214,FTM_responder_9,7
-66,10.0,1.514,3c:28:6d:86:33:55,5.791,3.39,8,0.8,1676374835661,565296428,FTM_responder_9,7
-65,10.0,1.598,3c:28:6d:86:33:55,5.894,3.39,8,0.8,1676374835906,565296636,FTM_responder_9,7
-68,10.0,0.311,3c:28:6d:86:33:55,6.94,3.39,8,0.8,1676374836140,565296854,FTM_responder_9,7
-68,10.0,0.435,3c:28:6d:86:33:55,6.678,3.39,8,0.8,1676374836389,565297067,FTM_responder_9,7
-68,10.0,0.439,3c:28:6d:86:33:55,6.675,3.39,8,0.8,1676374836527,565297260,FTM_responder_9,7
-68,10.0,0.357,3c:28:6d:86:33:55,6.803,3.39,8,0.8,1676374836709,565297483,FTM_responder_9,7
-70,10.0,0.303,3c:28:6d:86:33:55,6.909,3.39,8,0.8,1676374836987,565297695,FTM_responder_9,7
-69,10.0,0.325,3c:28:6d:86:33:55,6.859,3.39,8,0.8,1676374837200,565297896,FTM_responder_9,7
-70,10.0,0.322,3c:28:6d:86:33:55,6.825,3.39,8,0.8,1676374837423,565298097,FTM_responder_9,7
-67,10.0,1.487,3c:28:6d:86:33:55,5.825,3.39,8,0.8,1676374837607,565298305,FTM_responder_9,7
-69,10.0,0.915,3c:28:6d:86:33:55,6.531,3.39,8,0.8,1676374837756,565298511,FTM_responder_9,7
-67,10.0,1.521,3c:28:6d:86:33:55,5.75,3.39,8,0.8,1676374837983,565298718,FTM_responder_9,7
-69,10.0,1.316,3c:28:6d:86:33:55,5.709,3.39,8,0.8,1676374838215,565298933,FTM_responder_9,7
-71,10.0,1.733,3c:28:6d:86:33:55,5.781,3.39,8,0.8,1676374838432,565299142,FTM_responder_9,7
-71,10.0,2.058,3c:28:6d:86:33:55,5.434,3.39,8,0.8,1676374838740,565299349,FTM_responder_9,7
-70,10.0,0.336,3c:28:6d:86:33:55,6.862,3.39,8,0.8,1676374838898,565299549,FTM_responder_9,7
-70,10.0,0.412,3c:28:6d:86:33:55,6.793,3.39,8,0.8,1676374839048,565299760,FTM_responder_9,7
-70,10.0,1.811,3c:28:6d:86:33:55,5.241,3.39,8,0.8,1676374839291,565299975,FTM_responder_9,7
-70,10.0,1.747,3c:28:6d:86:33:55,5.637,3.39,8,0.8,1676374839587,565300185,FTM_responder_9,7
-70,10.0,0.339,3c:28:6d:86:33:55,6.906,3.39,8,0.8,1676374839688,565300384,FTM_responder_9,7
-71,10.0,0.366,3c:28:6d:86:33:55,6.746,3.39,8,0.8,1676374839992,565300596,FTM_responder_9,7
-69,10.0,1.728,3c:28:6d:86:33:55,5.668,3.39,8,0.8,1676374840147,565300805,FTM_responder_9,7
-67,10.0,2.067,3c:28:6d:86:33:55,4.579,3.39,8,0.8,1676374840302,565301029,FTM_responder_9,7
-68,10.0,2.046,3c:28:6d:86:33:55,3.876,3.39,8,0.8,1676374840599,565301232,FTM_responder_9,7
-68,10.0,1.752,3c:28:6d:86:33:55,5.644,3.39,8,0.8,1676374840759,565301426,FTM_responder_9,7
-70,10.0,0.553,3c:28:6d:86:33:55,7.184,3.39,8,0.8,1676374841023,565301636,FTM_responder_9,7
-71,10.0,0.294,3c:28:6d:86:33:55,6.825,3.39,8,0.8,1676374841197,565301836,FTM_responder_9,7
-71,10.0,0.374,3c:28:6d:86:33:55,6.628,3.39,8,0.8,1676374841448,565302036,FTM_responder_9,7
-72,10.0,0.358,3c:28:6d:86:33:55,6.671,3.39,8,0.8,1676374841568,565302252,FTM_responder_9,7
-72,10.0,0.364,3c:28:6d:86:33:55,6.643,3.39,8,0.8,1676374841808,565302450,FTM_responder_9,7
-72,10.0,0.4,3c:28:6d:86:33:55,6.596,3.39,8,0.8,1676374842086,565302663,FTM_responder_9,7
-71,10.0,0.457,3c:28:6d:86:33:55,6.521,3.39,8,0.8,1676374842268,565302864,FTM_responder_9,7
-70,10.0,0.42,3c:28:6d:86:33:55,6.603,3.39,8,0.8,1676374842463,565303064,FTM_responder_9,7
-71,10.0,0.382,3c:28:6d:86:33:55,6.603,3.39,8,0.8,1676374842711,565303285,FTM_responder_9,7
-71,10.0,0.435,3c:28:6d:86:33:55,6.637,3.39,8,0.8,1676374842800,565303497,FTM_responder_9,7
-71,10.0,0.475,3c:28:6d:86:33:55,6.559,3.39,8,0.8,1676374843134,565303702,FTM_responder_9,7
-71,10.0,0.462,3c:28:6d:86:33:55,6.681,3.39,8,0.8,1676374843327,565303918,FTM_responder_9,7
-69,10.0,0.43,3c:28:6d:86:33:55,6.675,3.39,8,0.8,1676374843643,565304124,FTM_responder_9,7
-72,10.0,0.419,3c:28:6d:86:33:55,6.634,3.39,8,0.8,1676374843784,565304328,FTM_responder_9,7
-67,10.0,0.306,3c:28:6d:86:33:55,6.762,3.39,8,0.8,1676374843938,565304545,FTM_responder_9,7
-67,10.0,0.505,3c:28:6d:86:33:55,6.643,3.39,8,0.8,1676374844205,565304758,FTM_responder_9,7
-67,10.0,0.397,3c:28:6d:86:33:55,6.796,3.39,8,0.8,1676374844303,565304961,FTM_responder_9,7
-68,10.0,0.366,3c:28:6d:86:33:55,6.796,3.39,8,0.8,1676374844683,565305172,FTM_responder_9,7
-68,10.0,0.33,3c:28:6d:86:33:55,6.837,3.39,8,0.8,1676374844815,565305374,FTM_responder_9,7
