RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-62,10.0,0.223,3c:28:6d:86:33:55,4.063,3.39,8,0.8,1676376797950,567258732,FTM_responder_9,7
-62,10.0,0.388,3c:28:6d:86:33:55,3.991,3.39,8,0.8,1676376798181,567258977,FTM_responder_9,7
-62,10.0,0.149,3c:28:6d:86:33:55,4.153,3.39,8,0.8,1676376798371,567259174,FTM_responder_9,7
-64,10.0,0.401,3c:28:6d:86:33:55,4.042,3.39,8,0.8,1676376798567,567259373,FTM_responder_9,7
-63,10.0,0.267,3c:28:6d:86:33:55,3.928,3.39,8,0.8,1676376798764,567259570,FTM_responder_9,7
-63,10.0,0.114,3c:28:6d:86:33:55,4.094,3.39,8,0.8,1676376798980,567259763,FTM_responder_9,7
-63,10.0,0.893,3c:28:6d:86:33:55,3.633,3.39,8,0.8,1676376799161,567259960,FTM_responder_9,7
-66,10.0,1.13,3c:28:6d:86:33:55,3.169,3.39,8,0.8,1676376799367,567260166,FTM_responder_9,7
-61,10.0,0.177,3c:28:6d:86:33:55,4.339,3.39,8,0.8,1676376799583,567260378,FTM_responder_9,7
-61,10.0,2.469,3c:28:6d:86:33:55,2.166,3.39,8,0.8,1676376799802,567260584,FTM_responder_9,7
-61,10.0,0.339,3c:28:6d:86:33:55,3.979,3.39,8,0.8,1676376800001,567260797,FTM_responder_9,7
-62,10.0,0.222,3c:28:6d:86:33:55,4.211,3.39,8,0.8,1676376800220,567260999,FTM_responder_9,7
-65,10.0,0.274,3c:28:6d:86:33:55,4.176,3.39,8,0.8,1676376800433,567261170,FTM_responder_9,7
-65,10.0,0.139,3c:28:6d:86:33:55,3.928,3.39,8,0.8,1676376800592,567261362,FTM_responder_9,7
-65,10.0,0.253,3c:28:6d:86:33:55,3.838,3.39,8,0.8,1676376800791,567261570,FTM_responder_9,7
-63,10.0,0.217,3c:28:6d:86:33:55,3.902,3.39,8,0.8,1676376801017,567261754,FTM_responder_9,7
-61,10.0,0.092,3c:28:6d:86:33:55,3.81,3.39,8,0.8,1676376801200,567261979,FTM_responder_9,7
-60,10.0,0.181,3c:28:6d:86:33:55,3.916,3.39,8,0.8,1676376801484,567262190,FTM_responder_9,7
-61,10.0,0.285,3c:28:6d:86:33:55,4.134,3.39,8,0.8,1676376801693,567262400,FTM_responder_9,7
-61,10.0,0.28,3c:28:6d:86:33:55,3.951,3.39,8,0.8,1676376801906,567262590,FTM_responder_9,7
-64,10.0,0.36,3c:28:6d:86:33:55,3.942,3.39,8,0.8,1676376802040,567262780,FTM_responder_9,7
-62,10.0,0.895,3c:28:6d:86:33:55,3.783,3.39,8,0.8,1676376802216,567262989,FTM_responder_9,7
-63,10.0,0.188,3c:28:6d:86:33:55,3.923,3.39,8,0.8,1676376802481,567263199,FTM_responder_9,7
-62,10.0,1.599,3c:28:6d:86:33:55,2.578,3.39,8,0.8,1676376802708,567263408,FTM_responder_9,7
-61,10.0,1.594,3c:28:6d:86:33:55,2.975,3.39,8,0.8,1676376802864,567263609,FTM_responder_9,7
-63,10.0,0.466,3c:28:6d:86:33:55,3.98,3.39,8,0.8,1676376803163,567263823,FTM_responder_9,7
-62,10.0,0.921,3c:28:6d:86:33:55,3.52,3.39,8,0.8,1676376803315,567264030,FTM_responder_9,7
-58,10.0,1.532,3c:28:6d:86:33:55,2.966,3.39,8,0.8,1676376803512,567264243,FTM_responder_9,7
-61,10.0,0.534,3c:28:6d:86:33:55,4.056,3.39,8,0.8,1676376803748,567264469,FTM_responder_9,7
-64,10.0,0.199,3c:28:6d:86:33:55,4.096,3.39,8,0.8,1676376804038,567264687,FTM_responder_9,7
-65,10.0,0.215,3c:28:6d:86:33:55,4.038,3.39,8,0.8,1676376804270,567264878,FTM_responder_9,7
-64,10.0,0.23,3c:28:6d:86:33:55,4.007,3.39,8,0.8,1676376804429,567265072,FTM_responder_9,7
-65,10.0,0.292,3c:28:6d:86:33:55,4.005,3.39,8,0.8,1676376804480,567265234,FTM_responder_9,7
-63,10.0,0.755,3c:28:6d:86:33:55,3.513,3.39,8,0.8,1676376804693,567265439,FTM_responder_9,7
-63,10.0,0.512,3c:28:6d:86:33:55,3.979,3.39,8,0.8,1676376804928,567265630,FTM_responder_9,7
-63,10.0,0.724,3c:28:6d:86:33:55,3.831,3.39,8,0.8,1676376805255,567265824,FTM_responder_9,7
-60,10.0,0.334,3c:28:6d:86:33:55,4.371,3.39,8,0.8,1676376805340,567266028,FTM_responder_9,7
-62,10.0,1.168,3c:28:6d:86:33:55,3.265,3.39,8,0.8,1676376805684,567266228,FTM_responder_9,7
-60,10.0,1.472,3c:28:6d:86:33:55,2.775,3.39,8,0.8,1676376805736,567266435,FTM_responder_9,7
-59,10.0,1.887,3c:28:6d:86:33:55,2.781,3.39,8,0.8,1676376805968,567266646,FTM_responder_9,7
-58,10.0,2.079,3c:28:6d:86:33:55,2.691,3.39,8,0.8,1676376806318,567266860,FTM_responder_9,7
-60,10.0,1.821,3c:28:6d:86:33:55,3.275,3.39,8,0.8,1676376806393,567267067,FTM_responder_9,7
-59,10.0,1.495,3c:28:6d:86:33:55,3.553,3.39,8,0.8,1676376806802,567267277,FTM_responder_9,7
-61,10.0,0.435,3c:28:6d:86:33:55,3.988,3.39,8,0.8,1676376806902,567267479,FTM_responder_9,7
-59,10.0,0.742,3c:28:6d:86:33:55,4.253,3.39,8,0.8,1676376807037,567267686,FTM_responder_9,7
-62,10.0,0.48,3c:28:6d:86:33:55,3.89,3.39,8,0.8,1676376807193,567267860,FTM_responder_9,7
-61,10.0,0.546,3c:28:6d:86:33:55,3.923,3.39,8,0.8,1676376807448,567268056,FTM_responder_9,7
-58,10.0,0.276,3c:28:6d:86:33:55,4.033,3.39,8,0.8,1676376807650,567268336,FTM_responder_9,7
-61,10.0,0.175,3c:28:6d:86:33:55,4.075,3.39,8,0.8,1676376808129,567268593,FTM_responder_9,7
-61,10.0,0.237,3c:28:6d:86:33:55,3.899,3.39,8,0.8,1676376808187,567268774,FTM_responder_9,7
-61,10.0,0.414,3c:28:6d:86:33:55,4.148,3.39,8,0.8,1676376808272,567268948,FTM_responder_9,7
-61,10.0,0.275,3c:28:6d:86:33:55,4.089,3.39,8,0.8,1676376808518,567269118,FTM_responder_9,7
-62,10.0,0.654,3c:28:6d:86:33:55,3.918,3.39,8,0.8,1676376808597,567269306,FTM_responder_9,7
-61,10.0,0.257,3c:28:6d:86:33:55,4.012,3.39,8,0.8,1676376809018,567269487,FTM_responder_9,7
-59,10.0,1.945,3c:28:6d:86:33:55,2.269,3.39,8,0.8,1676376809113,567269670,FTM_responder_9,7
-60,10.0,0.376,3c:28:6d:86:33:55,3.834,3.39,8,0.8,1676376809153,567269819,FTM_responder_9,7
