RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-64,3.43,0.792,3c:28:6d:86:2b:4c,6.084,5.52,8,0.8,1676373397680,563858506,FTM_responder_4,7
-62,3.43,0.794,3c:28:6d:86:2b:4c,6.093,5.52,8,0.8,1676373397914,563858740,FTM_responder_4,7
-62,3.43,0.759,3c:28:6d:86:2b:4c,5.977,5.52,8,0.8,1676373398115,563858940,FTM_responder_4,7
-62,3.43,0.802,3c:28:6d:86:2b:4c,5.809,5.52,8,0.8,1676373398315,563859138,FTM_responder_4,7
-62,3.43,0.681,3c:28:6d:86:2b:4c,6.281,5.52,8,0.8,1676373398584,563859401,FTM_responder_4,7
-64,3.43,0.229,3c:28:6d:86:2b:4c,6.09,5.52,8,0.8,1676373398864,563859664,FTM_responder_4,7
-60,3.43,0.736,3c:28:6d:86:2b:4c,6.321,5.52,8,0.8,1676373399113,563859924,FTM_responder_4,7
-62,3.43,0.579,3c:28:6d:86:2b:4c,6.449,5.52,8,0.8,1676373399378,563860179,FTM_responder_4,7
-66,3.43,0.602,3c:28:6d:86:2b:4c,6.243,5.52,8,0.8,1676373399659,563860437,FTM_responder_4,7
-61,3.43,0.74,3c:28:6d:86:2b:4c,5.971,5.52,8,0.8,1676373399879,563860700,FTM_responder_4,7
-63,3.43,0.5,3c:28:6d:86:2b:4c,6.246,5.52,8,0.8,1676373400151,563860961,FTM_responder_4,7
-62,3.43,0.979,3c:28:6d:86:2b:4c,5.971,5.52,8,0.8,1676373400476,563861221,FTM_responder_4,7
-59,3.43,0.674,3c:28:6d:86:2b:4c,6.096,5.52,8,0.8,1676373400666,563861476,FTM_responder_4,7
-60,3.43,0.78,3c:28:6d:86:2b:4c,5.968,5.52,8,0.8,1676373400919,563861736,FTM_responder_4,7
-59,3.43,0.736,3c:28:6d:86:2b:4c,6.087,5.52,8,0.8,1676373401263,563862003,FTM_responder_4,7
-62,3.43,0.815,3c:28:6d:86:2b:4c,5.981,5.52,8,0.8,1676373401414,563862164,FTM_responder_4,7
-62,3.43,0.82,3c:28:6d:86:2b:4c,6.012,5.52,8,0.8,1676373401727,563862426,FTM_responder_4,7
