RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-68,5.0,0.458,b0:6a:41:87:64:98,5.806,3.0,8,0.73,1676373090655,563551431,FTM_responder_14,7
-76,5.0,1.16,b0:6a:41:87:64:98,5.395,3.0,8,0.73,1676373090915,563551709,FTM_responder_14,7
-78,5.0,0.595,b0:6a:41:87:64:98,5.929,3.0,8,0.73,1676373091132,563551922,FTM_responder_14,7
-77,5.0,0.105,b0:6a:41:87:64:98,6.147,3.0,8,0.73,1676373091324,563552130,FTM_responder_14,7
-71,5.0,0.056,b0:6a:41:87:64:98,7.5,3.0,8,0.73,1676373091546,563552351,FTM_responder_14,7
-66,5.0,0.462,b0:6a:41:87:64:98,7.971,3.0,8,0.73,1676373091793,563552572,FTM_responder_14,7
-67,5.0,0.478,b0:6a:41:87:64:98,7.481,3.0,8,0.73,1676373091991,563552792,FTM_responder_14,7
-66,5.0,0.538,b0:6a:41:87:64:98,7.331,3.0,8,0.73,1676373092255,563553001,FTM_responder_14,7
-65,5.0,0.452,b0:6a:41:87:64:98,7.603,3.0,8,0.73,1676373092448,563553208,FTM_responder_14,7
-65,5.0,0.53,b0:6a:41:87:64:98,7.485,3.0,8,0.73,1676373092622,563553420,FTM_responder_14,7
-65,5.0,0.354,b0:6a:41:87:64:98,7.725,3.0,8,0.73,1676373092845,563553644,FTM_responder_14,7
-66,5.0,0.443,b0:6a:41:87:64:98,7.509,3.0,8,0.73,1676373093128,563553856,FTM_responder_14,7
-66,5.0,0.378,b0:6a:41:87:64:98,7.455,3.0,8,0.73,1676373093266,563554067,FTM_responder_14,7
-65,5.0,0.287,b0:6a:41:87:64:98,7.874,3.0,8,0.73,1676373093524,563554275,FTM_responder_14,7
-66,5.0,0.662,b0:6a:41:87:64:98,6.771,3.0,8,0.73,1676373093711,563554491,FTM_responder_14,7
-68,5.0,0.751,b0:6a:41:87:64:98,6.768,3.0,8,0.73,1676373093912,563554694,FTM_responder_14,7
-69,5.0,0.563,b0:6a:41:87:64:98,7.078,3.0,8,0.73,1676373094119,563554894,FTM_responder_14,7
