RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-75,10.0,0.611,b0:6a:41:87:69:26,6.874,1.49,8,0.0,1676374718577,565179352,FTM_responder_8,7
-76,10.0,0.252,b0:6a:41:87:69:26,7.378,1.49,8,0.0,1676374718789,565179594,FTM_responder_8,7
-74,10.0,0.64,b0:6a:41:87:69:26,7.171,1.49,8,0.0,1676374718961,565179763,FTM_responder_8,7
-76,10.0,0.28,b0:6a:41:87:69:26,7.146,1.49,8,0.0,1676374719232,565180030,FTM_responder_8,7
-76,10.0,0.233,b0:6a:41:87:69:26,6.789,1.49,8,0.0,1676374719398,565180192,FTM_responder_8,7
-80,10.0,0.144,b0:6a:41:87:69:26,7.024,1.49,8,0.0,1676374719561,565180352,FTM_responder_8,7
-78,10.0,0.15,b0:6a:41:87:69:26,7.056,1.49,8,0.0,1676374719749,565180513,FTM_responder_8,7
-74,10.0,0.305,b0:6a:41:87:69:26,7.106,1.49,8,0.0,1676374719946,565180731,FTM_responder_8,7
-77,10.0,0.228,b0:6a:41:87:69:26,7.212,1.49,8,0.0,1676374720158,565180932,FTM_responder_8,7
-78,10.0,0.229,b0:6a:41:87:69:26,7.096,1.49,8,0.0,1676374720376,565181130,FTM_responder_8,7
-77,10.0,0.446,b0:6a:41:87:69:26,7.187,1.49,8,0.0,1676374720556,565181340,FTM_responder_8,7
-78,10.0,1.292,b0:6a:41:87:69:26,7.064,1.49,8,0.0,1676374720768,565181550,FTM_responder_8,7
-75,10.0,0.44,b0:6a:41:87:69:26,7.137,1.49,8,0.0,1676374721015,565181744,FTM_responder_8,7
-79,10.0,0.362,b0:6a:41:87:69:26,7.031,1.49,8,0.0,1676374721218,565181959,FTM_responder_8,7
-79,10.0,0.168,b0:6a:41:87:69:26,7.218,1.49,8,0.0,1676374721401,565182161,FTM_responder_8,7
-79,10.0,0.23,b0:6a:41:87:69:26,7.221,1.49,8,0.0,1676374721632,565182366,FTM_responder_8,7
-78,10.0,0.171,b0:6a:41:87:69:26,7.249,1.49,8,0.0,1676374721792,565182564,FTM_responder_8,7
-78,10.0,0.124,b0:6a:41:87:69:26,7.299,1.49,8,0.0,1676374721959,565182739,FTM_responder_8,7
-78,10.0,0.159,b0:6a:41:87:69:26,7.187,1.49,8,0.0,1676374722143,565182941,FTM_responder_8,7
-77,10.0,0.175,b0:6a:41:87:69:26,7.071,1.49,8,0.0,1676374722352,565183147,FTM_responder_8,7
-78,10.0,0.15,b0:6a:41:87:69:26,7.099,1.49,8,0.0,1676374722596,565183345,FTM_responder_8,7
-79,10.0,0.131,b0:6a:41:87:69:26,7.065,1.49,8,0.0,1676374722864,565183550,FTM_responder_8,7
-78,10.0,0.103,b0:6a:41:87:69:26,7.096,1.49,8,0.0,1676374723052,565183750,FTM_responder_8,7
-78,10.0,0.137,b0:6a:41:87:69:26,7.181,1.49,8,0.0,1676374723284,565184065,FTM_responder_8,7
-78,10.0,0.194,b0:6a:41:87:69:26,7.235,1.49,8,0.0,1676374723540,565184274,FTM_responder_8,7
-78,10.0,0.14,b0:6a:41:87:69:26,7.146,1.49,8,0.0,1676374723834,565184471,FTM_responder_8,5
-78,10.0,0.162,b0:6a:41:87:69:26,7.2,1.49,8,0.0,1676374724001,565184685,FTM_responder_8,7
-79,10.0,0.127,b0:6a:41:87:69:26,7.109,1.49,8,0.0,1676374724212,565184884,FTM_responder_8,7
-79,10.0,0.181,b0:6a:41:87:69:26,7.109,1.49,8,0.0,1676374724470,565185093,FTM_responder_8,7
-80,10.0,0.129,b0:6a:41:87:69:26,7.141,1.49,8,0.0,1676374724546,565185281,FTM_responder_8,7
-80,10.0,0.133,b0:6a:41:87:69:26,7.171,1.49,8,0.0,1676374724803,565185463,FTM_responder_8,7
-80,10.0,0.153,b0:6a:41:87:69:26,7.134,1.49,8,0.0,1676374725138,565185732,FTM_responder_8,7
-80,10.0,0.136,b0:6a:41:87:69:26,7.146,1.49,8,0.0,1676374725163,565185909,FTM_responder_8,7
-80,10.0,0.131,b0:6a:41:87:69:26,7.087,1.49,8,0.0,1676374725429,565186196,FTM_responder_8,7
-80,10.0,0.133,b0:6a:41:87:69:26,7.204,1.49,8,0.0,1676374725707,565186458,FTM_responder_8,7
-80,10.0,0.116,b0:6a:41:87:69:26,7.221,1.49,8,0.0,1676374726039,565186643,FTM_responder_8,7
-80,10.0,0.147,b0:6a:41:87:69:26,7.109,1.49,8,0.0,1676374726077,565186809,FTM_responder_8,7
-79,10.0,0.116,b0:6a:41:87:69:26,7.221,1.49,8,0.0,1676374726420,565187007,FTM_responder_8,7
-78,10.0,0.152,b0:6a:41:87:69:26,7.228,1.49,8,0.0,1676374726448,565187180,FTM_responder_8,7
-80,10.0,0.123,b0:6a:41:87:69:26,7.146,1.49,8,0.0,1676374726724,565187366,FTM_responder_8,7
-80,10.0,0.149,b0:6a:41:87:69:26,7.184,1.49,8,0.0,1676374727099,565187634,FTM_responder_8,7
-80,10.0,0.189,b0:6a:41:87:69:26,7.146,1.49,8,0.0,1676374727137,565187798,FTM_responder_8,7
-81,10.0,0.145,b0:6a:41:87:69:26,7.103,1.49,8,0.0,1676374727583,565188068,FTM_responder_8,7
-80,10.0,0.129,b0:6a:41:87:69:26,6.987,1.49,8,0.0,1676374727615,565188232,FTM_responder_8,7
-81,10.0,0.106,b0:6a:41:87:69:26,7.106,1.49,8,0.0,1676374728266,565188751,FTM_responder_8,7
-80,10.0,0.154,b0:6a:41:87:69:26,7.143,1.49,8,0.0,1676374728354,565189013,FTM_responder_8,7
-81,10.0,0.121,b0:6a:41:87:69:26,7.15,1.49,8,0.0,1676374728831,565189279,FTM_responder_8,7
-80,10.0,0.161,b0:6a:41:87:69:26,7.143,1.49,8,0.0,1676374728862,565189542,FTM_responder_8,7
-78,10.0,0.605,b0:6a:41:87:69:26,7.059,1.49,8,0.0,1676374729209,565189794,FTM_responder_8,7
-80,10.0,1.75,b0:6a:41:87:69:26,7.184,1.49,8,0.0,1676374729281,565189996,FTM_responder_8,7
-75,10.0,1.15,b0:6a:41:87:69:26,6.673,1.49,8,0.0,1676374729714,565190203,FTM_responder_8,7
-79,10.0,0.395,b0:6a:41:87:69:26,6.984,1.49,8,0.0,1676374729754,565190404,FTM_responder_8,7
-78,10.0,0.319,b0:6a:41:87:69:26,7.306,1.49,8,0.0,1676374730199,565190601,FTM_responder_8,7
-78,10.0,0.406,b0:6a:41:87:69:26,7.103,1.49,8,0.0,1676374730256,565190802,FTM_responder_8,7
-77,10.0,0.287,b0:6a:41:87:69:26,7.218,1.49,8,0.0,1676374730292,565191000,FTM_responder_8,7
-75,10.0,0.191,b0:6a:41:87:69:26,7.296,1.49,8,0.0,1676374730737,565191202,FTM_responder_8,7
-74,10.0,0.289,b0:6a:41:87:69:26,7.232,1.49,8,0.0,1676374730779,565191403,FTM_responder_8,7
-74,10.0,0.28,b0:6a:41:87:69:26,7.14,1.49,8,0.0,1676374731213,565191595,FTM_responder_8,7
-79,10.0,0.107,b0:6a:41:87:69:26,7.296,1.49,8,0.0,1676374731401,565191797,FTM_responder_8,7
-78,10.0,0.171,b0:6a:41:87:69:26,7.221,1.49,8,0.0,1676374731425,565191996,FTM_responder_8,7
-79,10.0,0.187,b0:6a:41:87:69:26,7.146,1.49,8,0.0,1676374731479,565192193,FTM_responder_8,7
-79,10.0,0.254,b0:6a:41:87:69:26,7.034,1.49,8,0.0,1676374731905,565192390,FTM_responder_8,7
