RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-67,1.15,0.605,58:cb:52:d1:81:b6,8.865,5.52,8,0.8,1676381787752,572248548,FTM_responder_3,7
-69,1.15,0.677,58:cb:52:d1:81:b6,8.79,5.52,8,0.8,1676381787975,572248786,FTM_responder_3,7
-69,1.15,0.663,58:cb:52:d1:81:b6,8.862,5.52,8,0.8,1676381788173,572248985,FTM_responder_3,7
-69,1.15,0.32,58:cb:52:d1:81:b6,9.559,5.52,8,0.8,1676381788364,572249176,FTM_responder_3,7
-68,1.15,0.156,58:cb:52:d1:81:b6,9.799,5.52,8,0.8,1676381788576,572249381,FTM_responder_3,7
-69,1.15,0.727,58:cb:52:d1:81:b6,8.668,5.52,8,0.8,1676381788770,572249573,FTM_responder_3,7
-72,1.15,0.242,58:cb:52:d1:81:b6,9.836,5.52,8,0.8,1676381788983,572249781,FTM_responder_3,7
-72,1.15,0.82,58:cb:52:d1:81:b6,8.662,5.52,8,0.8,1676381789155,572249956,FTM_responder_3,7
-71,1.15,0.411,58:cb:52:d1:81:b6,8.749,5.52,8,0.8,1676381789404,572250159,FTM_responder_3,7
-70,1.15,0.987,58:cb:52:d1:81:b6,9.296,5.52,8,0.8,1676381789553,572250348,FTM_responder_3,7
-71,1.15,1.243,58:cb:52:d1:81:b6,9.334,5.52,8,0.8,1676381789752,572250550,FTM_responder_3,7
-67,1.15,1.531,58:cb:52:d1:81:b6,8.906,5.52,8,0.8,1676381789993,572250755,FTM_responder_3,7
-70,1.15,0.965,58:cb:52:d1:81:b6,8.753,5.52,8,0.8,1676381790204,572250949,FTM_responder_3,7
-68,1.15,0.874,58:cb:52:d1:81:b6,8.853,5.52,8,0.8,1676381790436,572251162,FTM_responder_3,7
-66,1.15,0.626,58:cb:52:d1:81:b6,8.593,5.52,8,0.8,1676381790588,572251366,FTM_responder_3,7
-65,1.15,0.678,58:cb:52:d1:81:b6,8.503,5.52,8,0.8,1676381790800,572251558,FTM_responder_3,7
-63,1.15,0.474,58:cb:52:d1:81:b6,8.628,5.52,8,0.8,1676381790920,572251733,FTM_responder_3,7
-64,1.15,0.334,58:cb:52:d1:81:b6,8.662,5.52,8,0.8,1676381791146,572251944,FTM_responder_3,7
-67,1.15,0.52,58:cb:52:d1:81:b6,8.084,5.52,8,0.8,1676381791420,572252156,FTM_responder_3,7
-66,1.15,0.597,58:cb:52:d1:81:b6,8.196,5.52,8,0.8,1676381791599,572252348,FTM_responder_3,7
-66,1.15,0.737,58:cb:52:d1:81:b6,8.234,5.52,8,0.8,1676381791813,572252547,FTM_responder_3,7
-67,1.15,0.74,58:cb:52:d1:81:b6,8.05,5.52,8,0.8,1676381792091,572252753,FTM_responder_3,7
-68,1.15,0.924,58:cb:52:d1:81:b6,8.309,5.52,8,0.8,1676381792230,572252945,FTM_responder_3,7
-67,1.15,0.819,58:cb:52:d1:81:b6,8.471,5.52,8,0.8,1676381792394,572253144,FTM_responder_3,7
-67,1.15,0.668,58:cb:52:d1:81:b6,8.353,5.52,8,0.8,1676381792581,572253356,FTM_responder_3,7
-66,1.15,0.535,58:cb:52:d1:81:b6,8.434,5.52,8,0.8,1676381792802,572253555,FTM_responder_3,7
-67,1.15,0.438,58:cb:52:d1:81:b6,8.559,5.52,8,0.8,1676381793046,572253756,FTM_responder_3,7
-67,1.15,0.301,58:cb:52:d1:81:b6,9.171,5.52,8,0.8,1676381793322,572253956,FTM_responder_3,7
-67,1.15,0.487,58:cb:52:d1:81:b6,9.012,5.52,8,0.8,1676381793507,572254178,FTM_responder_3,7
-66,1.15,0.524,58:cb:52:d1:81:b6,8.746,5.52,8,0.8,1676381793724,572254387,FTM_responder_3,7
-66,1.15,0.491,58:cb:52:d1:81:b6,8.787,5.52,8,0.8,1676381793997,572254593,FTM_responder_3,7
-67,1.15,0.376,58:cb:52:d1:81:b6,9.059,5.52,8,0.8,1676381794023,572254801,FTM_responder_3,7
