RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-64,3.43,1.046,3c:28:6d:86:2b:4c,4.128,5.52,8,0.8,1676374345616,564806441,FTM_responder_4,7
-64,3.43,0.544,3c:28:6d:86:2b:4c,4.171,5.52,8,0.8,1676374345944,564806769,FTM_responder_4,7
-68,3.43,0.362,3c:28:6d:86:2b:4c,4.209,5.52,8,0.8,1676374346138,564806963,FTM_responder_4,7
-67,3.43,0.497,3c:28:6d:86:2b:4c,4.565,5.52,8,0.8,1676374346338,564807160,FTM_responder_4,7
-70,3.43,0.196,3c:28:6d:86:2b:4c,4.446,5.52,8,0.8,1676374346531,564807351,FTM_responder_4,7
-65,3.43,0.657,3c:28:6d:86:2b:4c,4.834,5.52,8,0.8,1676374346738,564807550,FTM_responder_4,7
-67,3.43,0.17,3c:28:6d:86:2b:4c,4.921,5.52,8,0.8,1676374346934,564807745,FTM_responder_4,7
-65,3.43,0.087,3c:28:6d:86:2b:4c,4.684,5.52,8,0.8,1676374347124,564807946,FTM_responder_4,7
-64,3.43,0.124,3c:28:6d:86:2b:4c,4.568,5.52,8,0.8,1676374347371,564808146,FTM_responder_4,7
-67,3.43,0.363,3c:28:6d:86:2b:4c,4.456,5.52,8,0.8,1676374347522,564808333,FTM_responder_4,7
-66,3.43,0.277,3c:28:6d:86:2b:4c,4.531,5.52,8,0.8,1676374347740,564808544,FTM_responder_4,7
-68,3.43,0.197,3c:28:6d:86:2b:4c,4.837,5.52,8,0.8,1676374347994,564808749,FTM_responder_4,7
-66,3.43,0.408,3c:28:6d:86:2b:4c,4.918,5.52,8,0.8,1676374348218,564808957,FTM_responder_4,7
-66,3.43,0.28,3c:28:6d:86:2b:4c,4.64,5.52,8,0.8,1676374348366,564809159,FTM_responder_4,7
-67,3.43,0.322,3c:28:6d:86:2b:4c,4.806,5.52,8,0.8,1676374348643,564809355,FTM_responder_4,7
-66,3.43,0.17,3c:28:6d:86:2b:4c,4.956,5.52,8,0.8,1676374348860,564809574,FTM_responder_4,7
-66,3.43,0.284,3c:28:6d:86:2b:4c,4.918,5.52,8,0.8,1676374348968,564809776,FTM_responder_4,7
-67,3.43,0.916,3c:28:6d:86:2b:4c,5.106,5.52,8,0.8,1676374349203,564809974,FTM_responder_4,7
-66,3.43,0.93,3c:28:6d:86:2b:4c,4.874,5.52,8,0.8,1676374349373,564810185,FTM_responder_4,7
-66,3.43,0.84,3c:28:6d:86:2b:4c,5.196,5.52,8,0.8,1676374349712,564810389,FTM_responder_4,7
-65,3.43,0.872,3c:28:6d:86:2b:4c,5.153,5.52,8,0.8,1676374349921,564810598,FTM_responder_4,7
-66,3.43,0.493,3c:28:6d:86:2b:4c,5.578,5.52,8,0.8,1676374350138,564810808,FTM_responder_4,7
-66,3.43,0.911,3c:28:6d:86:2b:4c,4.909,5.52,8,0.8,1676374350290,564811006,FTM_responder_4,7
-66,3.43,0.713,3c:28:6d:86:2b:4c,4.868,5.52,8,0.8,1676374350475,564811225,FTM_responder_4,7
-66,3.43,0.619,3c:28:6d:86:2b:4c,4.59,5.52,8,0.8,1676374350699,564811432,FTM_responder_4,7
-67,3.43,0.584,3c:28:6d:86:2b:4c,4.531,5.52,8,0.8,1676374350936,564811642,FTM_responder_4,7
-65,3.43,0.629,3c:28:6d:86:2b:4c,4.528,5.52,8,0.8,1676374351227,564811849,FTM_responder_4,7
-65,3.43,0.521,3c:28:6d:86:2b:4c,4.687,5.52,8,0.8,1676374351334,564812061,FTM_responder_4,7
-65,3.43,0.509,3c:28:6d:86:2b:4c,4.793,5.52,8,0.8,1676374351472,564812268,FTM_responder_4,7
-68,3.43,0.138,3c:28:6d:86:2b:4c,6.053,5.52,8,0.8,1676374351694,564812472,FTM_responder_4,7
-68,3.43,0.196,3c:28:6d:86:2b:4c,4.953,5.52,8,0.8,1676374351961,564812645,FTM_responder_4,7
-66,3.43,0.252,3c:28:6d:86:2b:4c,4.887,5.52,8,0.8,1676374351977,564812768,FTM_responder_4,7
-67,3.43,0.642,3c:28:6d:86:2b:4c,5.431,5.52,8,0.8,1676374352274,564812880,FTM_responder_4,7
-67,3.43,0.507,3c:28:6d:86:2b:4c,5.153,5.52,8,0.8,1676374352292,564813004,FTM_responder_4,7
-66,3.43,0.625,3c:28:6d:86:2b:4c,4.812,5.52,8,0.8,1676374352600,564813166,FTM_responder_4,7
-70,3.43,0.115,3c:28:6d:86:2b:4c,4.79,5.52,8,0.8,1676374352619,564813292,FTM_responder_4,7
-70,3.43,0.075,3c:28:6d:86:2b:4c,4.765,5.52,8,0.8,1676374352635,564813422,FTM_responder_4,7
-70,3.43,0.108,3c:28:6d:86:2b:4c,4.728,5.52,8,0.8,1676374352872,564813587,FTM_responder_4,7
-70,3.43,0.114,3c:28:6d:86:2b:4c,4.771,5.52,8,0.8,1676374353022,564813705,FTM_responder_4,7
-70,3.43,0.087,3c:28:6d:86:2b:4c,4.718,5.52,8,0.8,1676374353174,564813816,FTM_responder_4,7
-71,3.43,0.15,3c:28:6d:86:2b:4c,4.734,5.52,8,0.8,1676374353196,564813950,FTM_responder_4,7
-69,3.43,0.193,3c:28:6d:86:2b:4c,4.678,5.52,8,0.8,1676374353535,564814125,FTM_responder_4,7
-68,3.43,0.096,3c:28:6d:86:2b:4c,4.846,5.52,8,0.8,1676374353561,564814236,FTM_responder_4,7
-69,3.43,0.142,3c:28:6d:86:2b:4c,4.874,5.52,8,0.8,1676374353655,564814359,FTM_responder_4,7
-67,3.43,0.072,3c:28:6d:86:2b:4c,4.762,5.52,8,0.8,1676374353917,564814526,FTM_responder_4,7
-67,3.43,0.119,3c:28:6d:86:2b:4c,4.693,5.52,8,0.8,1676374353931,564814635,FTM_responder_4,7
-66,3.43,0.106,3c:28:6d:86:2b:4c,4.671,5.52,8,0.8,1676374354005,564814745,FTM_responder_4,7
-66,3.43,0.107,3c:28:6d:86:2b:4c,4.646,5.52,8,0.8,1676374354233,564814869,FTM_responder_4,7
-66,3.43,0.116,3c:28:6d:86:2b:4c,4.696,5.52,8,0.8,1676374354308,564815041,FTM_responder_4,7
-66,3.43,0.095,3c:28:6d:86:2b:4c,4.753,5.52,8,0.8,1676374354607,564815150,FTM_responder_4,7
-66,3.43,0.133,3c:28:6d:86:2b:4c,4.609,5.52,8,0.8,1676374354645,564815271,FTM_responder_4,7
-65,3.43,0.106,3c:28:6d:86:2b:4c,4.696,5.52,8,0.8,1676374354660,564815395,FTM_responder_4,7
-66,3.43,0.179,3c:28:6d:86:2b:4c,4.568,5.52,8,0.8,1676374355109,564815569,FTM_responder_4,7
-66,3.43,0.158,3c:28:6d:86:2b:4c,4.643,5.52,8,0.8,1676374355129,564815688,FTM_responder_4,7
-66,3.43,0.104,3c:28:6d:86:2b:4c,4.771,5.52,8,0.8,1676374355148,564815792,FTM_responder_4,7
-65,3.43,1.891,3c:28:6d:86:2b:4c,2.978,5.52,8,0.8,1676374355159,564815905,FTM_responder_4,7
-66,3.43,0.08,3c:28:6d:86:2b:4c,4.746,5.52,8,0.8,1676374355431,564816026,FTM_responder_4,7
-66,3.43,0.141,3c:28:6d:86:2b:4c,4.571,5.52,8,0.8,1676374355481,564816200,FTM_responder_4,7
-66,3.43,0.135,3c:28:6d:86:2b:4c,4.612,5.52,8,0.8,1676374355788,564816315,FTM_responder_4,7
-66,3.43,0.175,3c:28:6d:86:2b:4c,4.521,5.52,8,0.8,1676374355910,564816429,FTM_responder_4,7
-66,3.43,0.113,3c:28:6d:86:2b:4c,4.703,5.52,8,0.8,1676374355934,564816579,FTM_responder_4,7
-66,3.43,0.2,3c:28:6d:86:2b:4c,4.453,5.52,8,0.8,1676374356430,564816848,FTM_responder_4,7
-65,3.43,0.177,3c:28:6d:86:2b:4c,4.531,5.52,8,0.8,1676374356457,564816969,FTM_responder_4,7
-67,3.43,0.135,3c:28:6d:86:2b:4c,4.6,5.52,8,0.8,1676374356476,564817140,FTM_responder_4,7
-67,3.43,0.085,3c:28:6d:86:2b:4c,4.646,5.52,8,0.8,1676374356553,564817281,FTM_responder_4,7
-68,3.43,0.093,3c:28:6d:86:2b:4c,4.646,5.52,8,0.8,1676374356846,564817447,FTM_responder_4,7
-68,3.43,0.079,3c:28:6d:86:2b:4c,4.743,5.52,8,0.8,1676374356869,564817550,FTM_responder_4,7
-68,3.43,0.101,3c:28:6d:86:2b:4c,4.743,5.52,8,0.8,1676374356960,564817654,FTM_responder_4,7
-69,3.43,0.098,3c:28:6d:86:2b:4c,4.759,5.52,8,0.8,1676374357300,564817766,FTM_responder_4,7
-68,3.43,0.121,3c:28:6d:86:2b:4c,4.653,5.52,8,0.8,1676374357362,564817886,FTM_responder_4,7
-67,3.43,0.072,3c:28:6d:86:2b:4c,4.696,5.52,8,0.8,1676374357387,564817996,FTM_responder_4,7
-68,3.43,0.066,3c:28:6d:86:2b:4c,4.818,5.52,8,0.8,1676374357410,564818120,FTM_responder_4,7
-68,3.43,0.164,3c:28:6d:86:2b:4c,4.624,5.52,8,0.8,1676374357861,564818280,FTM_responder_4,7
-68,3.43,0.089,3c:28:6d:86:2b:4c,4.872,5.52,8,0.8,1676374357909,564818391,FTM_responder_4,7
-69,3.43,0.081,3c:28:6d:86:2b:4c,4.724,5.52,8,0.8,1676374357927,564818514,FTM_responder_4,7
-69,3.43,0.122,3c:28:6d:86:2b:4c,4.668,5.52,8,0.8,1676374357947,564818625,FTM_responder_4,7
-69,3.43,0.104,3c:28:6d:86:2b:4c,4.696,5.52,8,0.8,1676374358054,564818741,FTM_responder_4,7
-69,3.43,0.148,3c:28:6d:86:2b:4c,4.69,5.52,8,0.8,1676374358415,564818907,FTM_responder_4,7
-69,3.43,0.102,3c:28:6d:86:2b:4c,4.753,5.52,8,0.8,1676374358437,564819017,FTM_responder_4,7
-69,3.43,0.191,3c:28:6d:86:2b:4c,4.696,5.52,8,0.8,1676374358459,564819126,FTM_responder_4,7
-69,3.43,0.123,3c:28:6d:86:2b:4c,4.776,5.52,8,0.8,1676374358597,564819237,FTM_responder_4,7
-69,3.43,0.155,3c:28:6d:86:2b:4c,4.765,5.52,8,0.8,1676374359049,564819343,FTM_responder_4,7
-69,3.43,0.109,3c:28:6d:86:2b:4c,4.774,5.52,8,0.8,1676374359094,564819452,FTM_responder_4,7
-69,3.43,0.133,3c:28:6d:86:2b:4c,4.565,5.52,8,0.8,1676374359109,564819564,FTM_responder_4,7
-69,3.43,0.1,3c:28:6d:86:2b:4c,4.818,5.52,8,0.8,1676374359128,564819677,FTM_responder_4,7
